codigo,descripcion,familia,desc_familia,grupo_articulo,categoria,color,tipo,unidad,activo
7700149153195,Platina Emblema RE CL350 HG TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153201,Cubta Farola RE CL350 HG TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153218,Guardab Del RE CL350 HG TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153225,Guardab Tras RE CL350 HG TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153232,Tanque Gas RE CL350 HG TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153249,Tapa Lateral Der RE CL350 HGTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153256,Cub Farola Cent NM AK200CR3 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153263,Cubta Ov Der RE CL350 NeBr TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153270,Tapa Lateral Izq RE CL350 HBTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153287,Cubta amort Del RE CL350 HB TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153294,Platina Emblema RE CL350 HB TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153300,Cubta Farola RE CL350 HB TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149153317,Guardab Del RE CL350 HB TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153324,Guardab Tras RE CL350 HB TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153331,Tanque Gas RE CL350 HB TA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153348,Tapa Lateral Der RE CL350 HBTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149153355,Tapa Lateral Izq RE CL350 HGTA,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149155113,Chasis 350 Classic RE VIN Mp,1631000000,Ckd,203002,Ckd,,TRANSFORMADO,UND,True
7700149169707,Pintura Parri NBr 125SC-PRO TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149173155,Tanque Hunter RE Negro Bla TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149173179,Tanque Hunter RE Gris Osc TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
